site,year,period,replicate,ext_bleached,ext_verypale,ext_anybleaching,ext_nobleaching
Black Point,2022,Annual,3.5,3.6182539682539683,0,3.6182539682539683,46.38174603174603
Black Point,2023,Annual,3.5,48.76796945193172,28.715277777777782,49.27457264957265,17.392094017094017
Black Point,2024,Annual,3.5,62.598039215686285,27.380952380952387,61.34920634920635,5.317460317460311
Black Point,2024,PBL,3.5,1.25,0,1.25,15.416666666666666
Black Point,2025,PBL,3.5,9.166666666666666,0,9.166666666666666,24.166666666666664
Botany Bay,2022,Annual,3.5,2.166666666666667,0,2.166666666666667,31.166666666666664
Botany Bay,2023,Annual,3.5,20.277777777777782,10,30.277777777777782,19.722222222222218
Botany Bay,2024,Annual,3.5,51.95238095238095,1.6666666666666667,53.61904761904762,29.714285714285715
Botany Bay,2024,PBL,3.5,2.5,0,2.5,14.166666666666666
Botany Bay,2025,PBL,3.5,13.5,16.666666666666668,21,29
Brewers Bay,2022,Annual,3.5,6.666666666666666,1.4166666666666665,6.638888888888888,93.36111111111111
Brewers Bay,2023,Annual,3.5,34.083333333333336,0,34.083333333333336,32.583333333333336
Brewers Bay,2024,Annual,3.5,16.666666666666664,0,16.666666666666664,0
Brewers Bay,2024,PBL,3.5,0,0,0,0
Brewers Bay,2025,PBL,3.5,16.666666666666668,0,16.666666666666668,0
Buck Island STT,2022,Annual,3.5,3.6666666666666665,0,3.6666666666666665,29.666666666666664
Buck Island STT,2023,Annual,3.5,22.416666666666664,16.527777777777782,20.486111111111118,12.847222222222216
Buck Island STT,2024,Annual,3.5,28.174358974358967,16.666666666666668,33.84285714285715,16.15714285714285
Buck Island STT,2024,PBL,3.5,2.083333333333333,16.666666666666664,18.75,31.25
Buck Island STT,2025,PBL,3.5,16.666666666666664,0,16.666666666666664,0
Buck Island STX,2022,Annual,3.5,1.3333333333333335,0,1.3333333333333335,15.333333333333334
Buck Island STX,2023,Annual,3.5,56.208333333333336,13.333333333333334,56.5,10.166666666666668
Buck Island STX,2024,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
Buck Island STX,2024,PBL,3.5,0,0,0,0
Buck Island STX,2025,PBL,3.5,0,0,0,0
Buck Island STX Deep,2022,Annual,3.5,5.861111111111112,1.5,6.055555555555555,60.611111111111114
Buck Island STX Deep,2023,Annual,3.5,0,0,0,0
Buck Island STX Deep,2024,Annual,3.5,0.8333333333333334,0,0.8333333333333334,15.833333333333334
Buck Island STX Deep,2024,PBL,3.5,0,0,0,0
Buck Island STX Deep,2025,PBL,3.5,0,0,0,0
Cane Bay,2022,Annual,3.5,2.5,0,2.5,30.833333333333336
Cane Bay,2023,Annual,3.5,25.833333333333336,0,25.833333333333336,7.5
Cane Bay,2024,Annual,3.5,47.291666666666664,0,47.291666666666664,2.708333333333333
Cane Bay,2024,PBL,3.5,3,0,3,30.333333333333336
Cane Bay,2025,PBL,3.5,2.5,0,2.5,14.166666666666666
Cane Bay Deep,2022,Annual,3.5,1.4166666666666665,0,1.4166666666666665,48.583333333333336
Cane Bay Deep,2023,Annual,3.5,0,0,0,0
Cane Bay Deep,2024,Annual,3.5,0,0,0,0
Cane Bay Deep,2024,PBL,3.5,9,0,9,24.333333333333332
Cane Bay Deep,2025,PBL,3.5,0,0,0,0
Castle,2022,Annual,3.5,2.416666666666667,0,2.416666666666667,30.916666666666664
Castle,2023,Annual,3.5,28.333333333333336,16.666666666666664,45,5
Castle,2024,Annual,3.5,28.333333333333336,0,28.333333333333336,5
Castle,2024,PBL,3.5,0,0,0,0
Castle,2025,PBL,3.5,0,0,0,0
Coculus Rock,2022,Annual,3.5,1.6666666666666665,0,1.6666666666666665,31.666666666666664
Coculus Rock,2023,Annual,3.5,65.21990131578947,31.25,80.46469298245614,19.535307017543868
Coculus Rock,2024,Annual,3.5,66.66666666666667,5.833333333333334,65.46296296296296,1.203703703703705
Coculus Rock,2024,PBL,3.5,1.6666666666666667,0,1.6666666666666667,15
Coculus Rock,2025,PBL,3.5,25.650000000000002,16.666666666666664,27.79545454545455,22.20454545454545
College Shoal East,2022,Annual,3.5,1.6666666666666665,0,1.6666666666666665,48.333333333333336
College Shoal East,2023,Annual,3.5,15.416666666666666,0,15.416666666666666,1.25
College Shoal East,2024,Annual,3.5,0,0,0,0
College Shoal East,2024,PBL,3.5,0,0.8333333333333334,0.8333333333333334,15.833333333333334
College Shoal East,2025,PBL,3.5,1.6666666666666667,6.666666666666667,8.333333333333332,25
Coral Bay,2022,Annual,3.5,1,0,1,32.33333333333333
Coral Bay,2023,Annual,3.5,34.166666666666664,13.333333333333334,40.833333333333336,9.166666666666666
Coral Bay,2024,Annual,3.5,27.5,0,27.5,22.5
Coral Bay,2024,PBL,3.5,0,0,0,0
Coral Bay,2025,PBL,3.5,6.166666666666667,0,6.166666666666667,27.166666666666664
Eagle Ray,2022,Annual,3.5,2,0,2,48
Eagle Ray,2023,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Eagle Ray,2024,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Eagle Ray,2024,PBL,3.5,16.666666666666664,0,16.666666666666664,0
Eagle Ray,2025,PBL,3.5,0,0,0,0
Fish Bay,2022,Annual,3.5,0,0,0,0
Fish Bay,2023,Annual,3.5,40.416666666666664,0,40.416666666666664,9.583333333333334
Fish Bay,2024,Annual,3.5,31.666666666666664,0,31.666666666666664,1.6666666666666667
Fish Bay,2024,PBL,3.5,15,0,15,1.6666666666666667
Fish Bay,2025,PBL,3.5,0,0,0,0
Flat Cay,2022,Annual,3.5,3.404761904761905,0,3.404761904761905,29.928571428571434
Flat Cay,2023,Annual,3.5,49.75507538438572,41.2962962962963,67.17789001122335,16.155443322109985
Flat Cay,2024,Annual,3.5,38.52719182597232,38.333333333333336,38.1936239408044,11.8063760591956
Flat Cay,2024,PBL,3.5,31.666666666666664,0,31.666666666666664,18.333333333333332
Flat Cay,2025,PBL,3.5,26.666666666666664,16.666666666666664,43.333333333333336,6.666666666666666
Grammanik Tiger FSA,2022,Annual,3.5,2.3333333333333335,0,2.3333333333333335,64.33333333333333
Grammanik Tiger FSA,2023,Annual,3.5,36.777777777777786,0,36.777777777777786,63.222222222222214
Grammanik Tiger FSA,2024,Annual,3.5,0.5,0,0.5,16.166666666666664
Grammanik Tiger FSA,2024,PBL,3.5,1.9166666666666665,8.333333333333334,6.083333333333333,43.916666666666664
Grammanik Tiger FSA,2025,PBL,3.5,0.27777777777777835,0,0.27777777777777835,16.388888888888882
Great Pond,2022,Annual,3.5,3.333333333333333,0,3.333333333333333,30
Great Pond,2023,Annual,3.5,11.166666666666668,16.666666666666664,14.083333333333334,19.25
Great Pond,2024,Annual,3.5,81.41666666666667,16.666666666666664,81.41666666666667,1.9166666666666665
Great Pond,2024,PBL,3.5,0,0,0,0
Great Pond,2025,PBL,3.5,0,0,0,0
Hind Bank East FSA,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
Hind Bank East FSA,2023,Annual,3.5,4.777777777777779,0,4.777777777777779,28.55555555555555
Hind Bank East FSA,2024,Annual,3.5,1,0,1,32.33333333333333
Hind Bank East FSA,2024,PBL,3,0,0,0,0
Hind Bank East FSA,2025,PBL,3.5,2.166666666666667,0,2.166666666666667,31.166666666666664
Jacks Bay,2022,Annual,3.5,3.333333333333333,0,3.333333333333333,30
Jacks Bay,2023,Annual,3.5,27.5,5,32.5,17.5
Jacks Bay,2024,Annual,3.5,20.833333333333336,0,20.833333333333336,12.5
Jacks Bay,2024,PBL,3.5,0,0,0,0
Jacks Bay,2025,PBL,3.5,0.8333333333333334,20,20.833333333333336,29.166666666666664
Kings Corner,2022,Annual,3.5,4.166666666666667,0,4.166666666666667,45.833333333333336
Kings Corner,2023,Annual,3.5,15,0,15,18.333333333333336
Kings Corner,2024,Annual,3.5,32.5,0,32.5,0.8333333333333334
Kings Corner,2024,PBL,3.5,0,0,0,0
Kings Corner,2025,PBL,3.5,0,0,0,0
Lang Bank EEMP,2022,Annual,3.5,0.5,0,0.5,16.166666666666664
Lang Bank EEMP,2023,Annual,3.5,63.333333333333336,0,63.333333333333336,3.3333333333333335
Lang Bank EEMP,2024,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Lang Bank EEMP,2024,PBL,3.5,6.666666666666667,3.3333333333333335,10,23.333333333333336
Lang Bank EEMP,2025,PBL,3.5,7.5,10,17.5,15.833333333333334
Lang Bank Red Hind FSA,2022,Annual,3.5,5.555555555555555,0.16666666666666666,5.555555555555555,77.77777777777779
Lang Bank Red Hind FSA,2023,Annual,3.5,17.5,0,17.5,15.833333333333334
Lang Bank Red Hind FSA,2024,Annual,3.5,0,0,0,0
Lang Bank Red Hind FSA,2024,PBL,3.5,4.166666666666666,0,4.166666666666666,12.5
Lang Bank Red Hind FSA,2025,PBL,3.5,0,0,0,0
Magens Bay,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,31.666666666666664
Magens Bay,2023,Annual,3.5,33.1,13.333333333333334,35.766666666666666,14.233333333333333
Magens Bay,2024,Annual,3.5,27.599673202614365,43.333333333333336,60.63333333333333,6.033333333333333
Magens Bay,2024,PBL,3.5,0,0,0,0
Magens Bay,2025,PBL,3.5,8.208333333333334,0,8.208333333333334,8.458333333333334
Meri Shoal,2022,Annual,3.5,2.5,0,2.5,64.16666666666667
Meri Shoal,2023,Annual,3.5,26.666666666666664,0,26.666666666666664,6.666666666666666
Meri Shoal,2024,Annual,3.5,0,10,10,23.333333333333336
Meri Shoal,2024,PBL,3.5,0,0,0,0
Meri Shoal,2025,PBL,3.5,1.6666666666666667,5.833333333333334,5.833333333333334,27.5
Mutton Snapper FSA,2022,Annual,3.5,0,0,0,0
Mutton Snapper FSA,2023,Annual,3.5,0,0,0,0
Mutton Snapper FSA,2024,Annual,3.5,16.666666666666664,0,16.666666666666664,0
Mutton Snapper FSA,2024,PBL,3.5,0,0,0,0
Mutton Snapper FSA,2025,PBL,3.6,0,0,0,0
Salt River Deep,2022,Annual,3.5,1.5,0,1.5,31.833333333333336
Salt River Deep,2023,Annual,3.5,15,0,15,1.6666666666666667
Salt River Deep,2024,Annual,4,13,0,13,7
Salt River Deep,2024,PBL,3.5,0,0,0,0
Salt River Deep,2025,PBL,3.5,1.2222222222222219,4.166666666666666,4,12.666666666666668
Salt River West,2022,Annual,3.5,3.333333333333333,0,3.333333333333333,30
Salt River West,2023,Annual,3.5,38,0,38,12
Salt River West,2024,Annual,3.5,47.5,0,47.5,2.5
Salt River West,2024,PBL,3.5,0,0,0,0
Salt River West,2025,PBL,3.5,0,0,0,0
Savana,2022,Annual,3.5,1.1666666666666667,0,1.1666666666666667,32.166666666666664
Savana,2023,Annual,3.5,23.055555555555546,0,23.055555555555546,10.277777777777782
Savana,2024,Annual,3.5,24.929534313725483,29.166666666666664,42.33149509803922,41.001838235294116
Savana,2024,PBL,3.5,1,0,1,15.666666666666666
Savana,2025,PBL,3.5,0,0,0,0
Seahorse Cottage Shoal,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
Seahorse Cottage Shoal,2023,Annual,3.5,53.70142089093703,42.77777777777778,55.09587251828631,11.570794148380351
Seahorse Cottage Shoal,2024,Annual,3.5,24.146825396825385,25,40.35218253968253,9.647817460317466
Seahorse Cottage Shoal,2024,PBL,3.5,0,0,0,0
Seahorse Cottage Shoal,2025,PBL,3.5,0,2.5,2.5,14.166666666666666
South Capella,2022,Annual,3.5,0.3333333333333333,0,0.3333333333333333,16.333333333333332
South Capella,2023,Annual,3.5,15,0,15,1.6666666666666667
South Capella,2024,Annual,3.5,0,3.3333333333333335,3.3333333333333335,13.333333333333334
South Capella,2024,PBL,3.5,3.3333333333333335,1.6666666666666667,5,11.666666666666668
South Capella,2025,PBL,3.5,0,2.5,2.5,14.166666666666666
South Water,2022,Annual,3.5,0,0,0,0
South Water,2023,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
South Water,2024,Annual,3.5,16.3125,3.3333333333333335,15.888888888888882,17.44444444444445
South Water,2024,PBL,3.5,0,0,0,0
South Water,2025,PBL,3.5,0.3333333333333333,0,0.3333333333333333,16.333333333333332
Sprat Hole,2022,Annual,3.5,3.5,0,3.5,46.5
Sprat Hole,2023,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Sprat Hole,2024,Annual,3.5,47.5,16.666666666666664,64.16666666666667,2.5
Sprat Hole,2024,PBL,3.5,0,13.333333333333334,13.333333333333334,3.3333333333333335
Sprat Hole,2025,PBL,3.5,0,0,0,0
St James,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
St James,2023,Annual,3.5,32.916666666666664,0,32.916666666666664,17.083333333333336
St James,2024,Annual,3.5,0,0,0,0
St James,2024,PBL,3.5,0,0,0,0
St James,2025,PBL,3.5,0,0,0,0
