site,year,max_dhw,mean_dhw,total_dhw_accumulation,max_weekly_temp,mean_weekly_temp,min_weekly_temp,temp_range,temp_sd,temp_cv,weeks_above_29,weeks_above_30,weeks_above_31,weeks_with_dhw,weeks_dhw_above_4,weeks_dhw_above_8,total_weeks,data_completeness,dhw_stress_category,temp_var_category,mean_weekly_change,max_weekly_change,weeks_increasing,weeks_decreasing,longest_hot_streak,longest_extreme_streak,cv_temperature
Black Point,2023,18.7954352355072,4.9520182013945675,262.45696467391207,30.6296956521739,28.587150704129066,25.9694322916667,4.6602633605072015,1.549423166410273,0.05419998594636007,25,12,0,24,21,16,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.25707813806438856,0.9038385416666976,27,25,25,9,0.05419998594636007
Black Point,2024,21.351953125,7.452563974056613,394.9858906250003,31.0934427083333,29.150488502358495,27.2060520833333,3.8873906249999983,1.2319053720220952,0.04226019649456045,31,18,1,29,27,24,53,1.0192307692307692,High Stress,Moderate Variability,0.1991849959935922,0.6201302083333005,27,25,31,13,0.04226019649456045
Botany Bay,2023,18.9528676470588,4.901595726970027,259.78457352941143,30.3707794117647,28.31486431742508,25.9777352941176,4.393044117647101,1.4372170413064727,0.0507583940786184,23,8,0,23,20,16,53,1.0192307692307692,Moderate Stress,High Variability,0.1997569287330306,0.742647058823497,25,27,23,8,0.0507583940786184
Botany Bay,2024,22.0253333333333,6.0565640723270295,320.9978958333326,30.8020625,28.808143289863118,26.7932573529412,4.008805147058801,1.2204960819072124,0.04236635695771047,27,9,0,28,21,18,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.19868502545249422,0.5455416666667006,27,25,26,8,0.04236635695771047
Brewers Bay,2023,16.403605882353,3.873174778024423,205.27826323529436,30.6259779411765,28.55542513873474,25.9151029411765,4.7108750000000015,1.551713904328569,0.05434042381752905,25,11,0,22,18,13,53,1.0192307692307692,Low Stress,Extreme Variability,0.2614196832579097,0.7902573529411008,26,26,25,9,0.05434042381752905
Brewers Bay,2024,20.7417083333334,8.060698143115966,370.7921145833344,31.1653541666667,29.400506342653923,27.1590495049505,4.0063046617162,1.1971937961944497,0.04072017611674852,31,18,1,27,27,22,46,0.8846153846153846,High Stress,Moderate Variability,0.21967962167541136,0.8003747374736996,19,26,31,13,0.04072017611674852
Buck Island STT,2023,15.5603150326797,3.8645971328153705,204.82364803921467,30.4566470588235,28.47123693735356,26.1200661764706,4.336580882352898,1.4750993596128,0.051810160649448496,24,10,0,22,18,13,53,1.0192307692307692,Low Stress,Extreme Variability,0.22314328494217694,0.7813823529412005,27,25,24,9,0.051810160649448496
Buck Island STT,2024,20.0954895833333,6.588005306603757,349.16428124999914,30.9118854166667,29.04344902654458,27.1946029411765,3.717282475490201,1.2007886276501682,0.04134456023293564,29,14,0,29,26,22,53,1.0192307692307692,High Stress,Moderate Variability,0.16414339413650383,0.8395104166666023,31,21,29,10,0.04134456023293564
Buck Island STX Deep,2023,5.2900497606019,4.463358584131313,35.7068686730505,29.8808953488372,28.9332258891929,28.0522022058824,1.8286931429548012,0.6530844983406299,0.02257212869528555,5,0,0,8,6,0,8,0.15384615384615385,Low Stress,Low Variability,0.2612418775649716,0.5549632352940996,0,7,5,0,0.02257212869528555
Buck Island STX Deep,2024,26.4101727941177,10.6238514786811,563.0641283700984,30.7397536764706,28.953685089483912,26.8225220588235,3.9172316176471007,1.1622355980212407,0.04014119772420158,29,9,0,32,29,27,53,1.0192307692307692,Extreme Stress,Low Variability,0.17507236283936706,0.5518088235293988,31,21,29,9,0.04014119772420158
Cane Bay,2023,17.7278051470588,4.110315135960045,217.84670220588248,30.5414191176471,28.494597114317425,26.1745808823529,4.3668382352942,1.4501196611904563,0.050891039286245165,25,9,0,21,18,14,53,1.0192307692307692,Low Stress,High Variability,0.22038532239819475,1.0597647058823014,27,25,25,9,0.050891039286245165
Cane Bay,2024,20.5389687499998,6.1917525550314005,328.1628854166642,30.9511145833333,29.110826333009612,27.1220588235294,3.8290557598039,1.1985383889353916,0.04117156879110415,30,14,0,29,26,20,53,1.0192307692307692,High Stress,Moderate Variability,0.1651626661481825,0.5325677083332998,29,23,30,11,0.04117156879110415
Cane Bay Deep,2023,19.0488639705883,5.538541065482815,293.54267647058924,30.1998823529412,28.30286514983352,26.2292169117647,3.9706654411765,1.3703882902964244,0.04841871248870665,23,4,0,25,21,18,53,1.0192307692307692,Moderate Stress,High Variability,0.24798062782805955,1.0969264705882011,24,28,21,3,0.04841871248870665
Cane Bay Deep,2024,23.8875260416667,9.239879730428639,489.71362571271794,30.735078125,28.99524273729725,27.0192720588235,3.7158060661765013,1.1263528607606854,0.03884612627546076,30,11,0,31,29,26,53,1.0192307692307692,Extreme Stress,Low Variability,0.15515021681749622,0.35066145833330253,31,21,30,11,0.03884612627546076
Castle,2023,18.6817132352941,4.778565066592669,253.2639485294114,30.7988676470588,28.534114039955604,26.1482426470588,4.650624999999998,1.4891082388970953,0.05218694496040544,24,11,0,22,19,16,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.2622710690045306,1.1526911764705972,25,27,24,9,0.05218694496040544
Castle,2024,21.6446354166668,7.53581564465411,399.39822916666805,31.0235104166667,29.153435731132085,27.3151029411765,3.7084074754901977,1.2111965687786828,0.04154558591134705,30,17,1,30,27,24,53,1.0192307692307692,High Stress,Moderate Variability,0.15711790629713074,0.7525937499999991,32,20,30,13,0.04154558591134705
Coculus Rock,2023,18.6060142156863,4.8968606687014455,259.53361544117644,30.8158492647059,28.75002891694413,26.0013382352941,4.8145110294118005,1.581141616643458,0.05499617482859628,28,15,0,24,21,15,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.29890858314479246,1.048577205882399,25,27,26,15,0.05499617482859628
Coculus Rock,2024,21.8528645833332,7.698881387578593,408.0407135416654,31.3590520833333,29.32926976391971,27.3688419117647,3.9902101715685987,1.2631571144444556,0.04306814061897874,31,23,3,31,27,24,53,1.0192307692307692,Extreme Stress,High Variability,0.185058829421194,0.8641302083333002,27,25,31,22,0.04306814061897874
College Shoal East,2023,17.5813676470589,3.8953346281909154,206.45273529411847,30.2598014705882,28.145019145394002,26.3124558823529,3.947345588235301,1.2690168357947764,0.045088504976286504,14,1,0,21,19,13,53,1.0192307692307692,Low Stress,High Variability,0.2704807692307694,1.1343602941176982,30,22,12,1,0.045088504976286504
College Shoal East,2024,16.6557604166666,3.864103970125783,204.79751041666648,30.1725,28.52918256335553,26.9569852941176,3.2155147058823985,0.9725474272470879,0.03408956513518484,21,2,0,25,17,14,53,1.0192307692307692,Low Stress,Low Variability,0.23740779364630368,0.8581354166667019,28,24,16,2,0.03408956513518484
Coral Bay,2023,22.6133529411764,8.193190482796899,434.2390955882356,31.1552941176471,28.835707963374027,26.0953676470588,5.059926470588298,1.6561318422582616,0.05743336852911032,27,19,3,30,28,24,53,1.0192307692307692,Extreme Stress,Extreme Variability,0.3183208427601879,0.708919117647099,26,26,26,9,0.05743336852911032
Coral Bay,2024,25.691125,9.936003341194944,526.6081770833322,31.3566354166667,29.37887772844987,27.0884338235294,4.268201593137299,1.3327389549335313,0.04536384838291273,31,23,5,32,29,27,53,1.0192307692307692,Extreme Stress,High Variability,0.21700844881221898,1.028156250000002,30,22,31,22,0.04536384838291273
Eagle Ray,2023,18.9731250000001,5.052583795782465,267.7869411764706,30.5737132352941,28.483563401775807,26.2201470588235,4.353566176470601,1.4726989239821158,0.051703465019769974,24,10,0,23,20,16,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.23733413461538266,1.0598897058822985,25,27,24,9,0.051703465019769974
Eagle Ray,2024,21.8666770833333,7.796690448113189,413.2245937499991,30.9221770833333,29.073695442563817,27.0584632352941,3.8637138480392004,1.2314016793242981,0.04235449469287379,30,16,0,30,27,24,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.17962045154599407,0.5639270833332972,24,28,30,14,0.04235449469287379
Fish Bay,2023,19.5525735294118,5.387090316315218,285.51578676470666,30.9090588235294,28.784776324698544,26.1878970588235,4.721161764705901,1.592537010786918,0.055325669125330476,27,16,0,26,22,17,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.27835030429803304,0.8680441176469991,28,24,26,15,0.055325669125330476
Fish Bay,2024,21.5304687500001,8.20847444968556,435.04914583333453,31.3124166666667,29.355610525342218,27.5121354166667,3.800281250000001,1.2385801033719102,0.042192278791226785,31,25,4,32,29,26,53,1.0192307692307692,High Stress,High Variability,0.1978742929864213,0.9082083333333983,26,26,31,25,0.042192278791226785
Flat Cay,2023,16.6577051083594,3.9480617150535067,209.24727089783576,30.5386066176471,28.498111181289797,26.0666507352941,4.471955882353001,1.5051968219487035,0.05281742401710217,25,11,0,22,18,13,53,1.0192307692307692,Low Stress,Extreme Variability,0.2276195969278406,0.7581029411764995,29,23,25,9,0.05281742401710217
Flat Cay,2024,20.2400104166666,7.056665192610079,374.00325520833405,30.9206458333333,29.08916882861636,27.0855661764706,3.8350796568626997,1.2143689742988697,0.041746430826316315,30,17,0,29,27,23,53,1.0192307692307692,High Stress,Moderate Variability,0.18218154930241737,0.6635520833333004,29,23,30,13,0.041746430826316315
Ginsburg Fringe,2023,4.6212095588235,1.0463115982241888,55.45451470588201,29.2146213235294,27.236068067346366,26.2948419117647,2.9197794117647007,0.6875343570966039,0.025243524703953017,1,0,0,14,10,0,53,1.0192307692307692,Low Stress,Low Variability,0.26514899721907476,1.0202683823530023,26,26,1,0,0.025243524703953017
Ginsburg Fringe,2024,0,0,0,28.1898645833333,27.207691468253966,26.678203125,1.5116614583333003,0.4243268979604581,0.015595843493578433,0,0,0,0,0,0,21,0.40384615384615385,No Stress,Low Variability,0.31292135416666056,1.451921875,9,11,0,0,0.015595843493578433
Grammanik Tiger FSA,2023,19.2382316176469,4.741665718645923,251.30828308823388,30.2731213235294,27.925841981132073,26.2464227941176,4.026698529411799,1.1946356012471337,0.04277885701903929,11,1,0,28,20,14,53,1.0192307692307692,Moderate Stress,Moderate Variability,0.3421461397058922,1.2062683823529987,29,23,11,1,0.04277885701903929
Grammanik Tiger FSA,2024,20.0569947916665,4.831050412735838,256.04567187499936,30.0738958333333,28.38160509734554,26.9561139705882,3.117781862745101,0.8837633846823836,0.03113859775200099,15,1,0,29,17,12,53,1.0192307692307692,Moderate Stress,Low Variability,0.2815609563537021,1.0020833333332995,26,26,10,1,0.03113859775200099
Great Pond,2023,17.2090147058825,4.494750277469517,238.22176470588448,30.865625,28.70597017203108,26.1318602941176,4.7337647058824,1.5546868339345872,0.05415900680651289,26,14,0,27,19,15,53,1.0192307692307692,Low Stress,Extreme Variability,0.33696804298642313,1.4232352941175996,24,28,26,10,0.05415900680651289
Great Pond,2024,23.1001354166666,8.638705581760988,457.8513958333324,31.7214270833333,29.44642064691535,27.5008602941176,4.220566789215699,1.2591555138759778,0.04276090221538964,35,25,5,33,30,28,53,1.0192307692307692,Extreme Stress,High Variability,0.2319769749245862,0.859677083333299,25,27,33,18,0.04276090221538964
Hind Bank East FSA,2023,17.1795073529413,4.577559100998924,242.61063235294296,30.0524705882353,27.830036001664816,26.2569669117647,3.7955036764705987,1.1410958454154643,0.04100231294516482,9,1,0,29,19,15,53,1.0192307692307692,Low Stress,Low Variability,0.3725764423076998,1.3670294117646975,28,24,7,1,0.04100231294516482
Hind Bank East FSA,2024,18.2382135416667,4.315290683962266,228.7104062500002,30.0815416666667,28.244629460321864,26.8917602941176,3.189781372549099,0.8508020227084803,0.03012261229709844,12,1,0,27,17,11,53,1.0192307692307692,Low Stress,Low Variability,0.29863211609164075,1.0970000000000013,25,27,10,1,0.03012261229709844
Jacks Bay,2023,17.3065882352939,4.450011931187518,235.85063235293848,30.52375,28.49561320754717,26.1375735294118,4.3861764705882,1.478698307821557,0.051892138521515245,25,9,0,22,19,15,53,1.0192307692307692,Low Stress,Extreme Variability,0.23016883484163056,1.0758088235293997,26,26,24,9,0.051892138521515245
Jacks Bay,2024,21.6920520833334,7.786210102201272,412.6691354166673,31.0731458333333,29.176717767295596,27.3389411764706,3.734204656862701,1.202766880635289,0.041223515620508876,30,19,1,31,28,24,53,1.0192307692307692,High Stress,Moderate Variability,0.17003450226244618,0.6766874999999999,28,24,30,15,0.041223515620508876
Kings Corner,2023,19.1045073529412,4.865991120976681,257.89752941176414,30.5515588235294,28.553553135405107,26.2064485294118,4.3451102941176,1.4481546443265845,0.050717143238154086,25,10,0,22,19,15,53,1.0192307692307692,Moderate Stress,High Variability,0.22880231900452302,1.3186250000000008,30,22,25,9,0.050717143238154086
Kings Corner,2024,21.4310833333334,7.713161360062889,408.7975520833331,30.98253125,29.155690089715133,27.2044632352941,3.7780680147059016,1.1486018148352506,0.03939545973018926,30,14,0,31,28,24,53,1.0192307692307692,High Stress,Low Variability,0.168511972096531,0.503604166666598,29,23,30,12,0.03939545973018926
Lang Bank EEMP,2023,20.791669117647,6.458225582685884,342.2859558823519,30.461375,28.4372223917869,26.2287058823529,4.232669117647099,1.449241858852313,0.05096284858224677,25,10,0,27,23,20,53,1.0192307692307692,High Stress,High Variability,0.20956787330316917,1.0096029411764,28,24,25,10,0.05096284858224677
Lang Bank EEMP,2024,24.4111562500001,9.609394579538064,509.2979127155174,30.8938020833333,29.063497072617274,27.1017720588235,3.792030024509799,1.172375820619925,0.04033842925683232,29,12,0,32,29,27,53,1.0192307692307692,Extreme Stress,Low Variability,0.16851672087104239,0.4970624999999984,27,25,29,11,0.04033842925683232
Lang Bank Red Hind FSA,2023,21.0152279411765,5.751311875693701,304.8195294117662,30.2684926470588,28.295240843507216,26.1594044117647,4.109088235294099,1.4531076342518248,0.05135519581856689,24,8,0,23,20,18,53,1.0192307692307692,High Stress,High Variability,0.22185831447964213,1.0688970588234987,29,23,21,7,0.05135519581856689
Lang Bank Red Hind FSA,2024,25.53428125,9.395421776729576,497.9573541666674,30.8208958333333,29.00158281307806,26.8765955882353,3.944300245097999,1.1715591928963724,0.040396388033278864,30,11,0,31,28,26,53,1.0192307692307692,Extreme Stress,Low Variability,0.17618972709276337,0.5858229166667002,30,22,30,11,0.040396388033278864
Magens Bay,2023,18.4003088235294,4.691013041065504,248.62369117647168,30.6084779411765,28.328594894561604,25.9463897058824,4.6620882352940995,1.5053253842947105,0.05313801796020939,23,9,0,22,18,15,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.22532763009050003,0.7836544117647009,24,28,23,9,0.05313801796020939
Magens Bay,2024,22.4826666666667,5.481897209119516,290.54055208333443,31.0809166666667,28.816299297077325,26.7351544117647,4.345762254901999,1.2729671779603262,0.04417524834944493,28,11,1,24,19,16,53,1.0192307692307692,Extreme Stress,High Variability,0.18965444711539053,0.8589895833334005,28,24,28,11,0.04417524834944493
Meri Shoal,2023,19.9913823529413,4.873114594894572,258.27507352941234,30.3946029411765,28.30107616537181,26.1824558823529,4.2121470588236,1.4573592333890055,0.05149483450287231,24,6,0,23,20,16,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.22616119909502094,1.0726397058823984,30,22,24,5,0.05149483450287231
Meri Shoal,2024,20.9163749999999,6.980340605345907,369.958052083333,30.7067604166667,28.82768604328524,26.9660367647059,3.740723651960799,1.151309846544644,0.03993764344512194,29,7,0,29,27,24,53,1.0192307692307692,High Stress,Low Variability,0.19741243636877312,0.6842500000000022,27,25,29,6,0.03993764344512194
Mutton Snapper FSA,2023,2.1019268207283,1.9769240633753626,15.815392507002901,29.6019047619048,28.83196327906161,27.981125,1.620779761904803,0.6297786113512291,0.02184307066624866,4,0,0,8,0,0,8,0.15384615384615385,Low Stress,Low Variability,0.23153996598640042,0.39298529411760086,0,7,4,0,0.02184307066624866
Mutton Snapper FSA,2024,23.5598645833334,9.305073309748497,493.1688854166704,30.7827916666667,29.15217669025158,27.2023823529412,3.5804093137255,1.1261677160343573,0.03863065622852599,29,13,0,32,29,27,53,1.0192307692307692,Extreme Stress,Low Variability,0.1529211797699829,0.8367812499999978,29,23,29,12,0.03863065622852599
Salt River Deep,2023,21.7425514705883,6.443225443951166,341.4909485294118,30.4415147058824,28.377546614872358,26.2284632352941,4.213051470588301,1.4319169446270368,0.0504595046238629,24,9,0,27,22,19,53,1.0192307692307692,Extreme Stress,High Variability,0.22316940045249012,0.9625735294116993,26,26,24,9,0.0504595046238629
Salt River Deep,2024,25.4333437500001,10.261984866352245,543.885197916669,30.808875,29.057562974010363,27.0164852941176,3.7923897058823997,1.1839182243565034,0.04074389257679394,29,14,0,32,29,27,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.16043144325037875,0.5175729166667011,32,20,29,11,0.04074389257679394
Salt River West,2023,14.3500129901959,3.3602337957824275,178.09239117646862,30.4619193627451,28.388591995005548,26.1392634803922,4.322655882352901,1.4481930569522878,0.0510132047833535,23,9,0,21,16,12,53,1.0192307692307692,Low Stress,High Variability,0.21664452300150205,0.9226203431373001,27,25,23,9,0.0510132047833535
Salt River West,2024,3.3019514705883,0.24832976055807307,6.4565737745099,29.9537203431373,28.193541628959284,27.0191036764706,2.934616666666699,1.0072455105963614,0.03572610790982566,7,0,0,3,0,0,26,0.5,Low Stress,Low Variability,0.1480152156862799,0.3365460784314003,17,8,7,0,0.03572610790982566
Savana,2023,18.7343749999999,4.358901762695841,231.02179342287948,30.3966985294118,28.323386837241205,26.0878602941176,4.3088382352942,1.4002370595900866,0.04943748668323009,24,8,0,21,18,14,53,1.0192307692307692,Moderate Stress,High Variability,0.20111467760181512,0.6922573529411977,28,24,24,8,0.04943748668323009
Savana,2024,21.4048645833333,6.364525157232691,337.31983333333267,30.6196041666667,28.847864178690344,26.91275,3.7068541666667016,1.1909445608249103,0.04128363033907551,29,10,0,28,24,19,53,1.0192307692307692,High Stress,Moderate Variability,0.1936263433257864,0.7810416666666988,30,22,26,10,0.04128363033907551
Seahorse Cottage Shoal,2023,19.3086727941177,5.014556989390636,265.7715204377036,30.5184816176471,28.46932277838709,26.1074852941176,4.410996323529503,1.4889972585289086,0.05230181518962239,24,11,0,23,20,15,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.22723246606334987,0.8279448529410978,27,25,24,9,0.05230181518962239
Seahorse Cottage Shoal,2024,22.5131510416666,8.258222582547155,437.68579687499914,30.9553802083333,29.051519203200144,27.2259322916667,3.7294479166665973,1.204717353273107,0.04146830824394211,29,14,0,31,28,26,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.16004056490384214,0.7370572916667015,29,23,29,10,0.04146830824394211
South Capella,2023,20.2945551470588,5.512850721420614,292.1810882352926,30.5188529411765,28.44149167591565,26.2100625,4.308790441176502,1.4689323288035925,0.051647513623467554,24,10,0,24,21,17,53,1.0192307692307692,High Stress,Extreme Variability,0.21577919966063439,0.6946764705881989,27,25,24,9,0.051647513623467554
South Capella,2024,23.0204010416666,8.39405797955972,444.88507291666525,30.926703125,28.993985351923786,27.1306360294118,3.7960670955881994,1.2180817483054034,0.04201153216850136,29,13,0,30,28,25,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.17809438042043835,0.6088177083333974,30,22,29,10,0.04201153216850136
South Water,2023,15.7572720588235,3.725484461709209,197.45067647058798,30.4622205882353,28.453302164261927,26.1612058823529,4.301014705882402,1.4768584621942715,0.05190464198736284,24,11,0,22,18,12,53,1.0192307692307692,Low Stress,Extreme Variability,0.22031193438914057,0.7894191176470997,28,24,24,9,0.05190464198736284
South Water,2024,18.9618541666667,5.777482704402515,306.2065833333333,30.81996875,28.9852515145209,27.1690882352941,3.6508805147059,1.1896079154902555,0.041041835186225346,29,13,0,29,26,19,53,1.0192307692307692,Moderate Stress,Moderate Variability,0.16234962999623656,0.778354166666599,32,20,29,10,0.041041835186225346
Sprat Hole,2023,18.3977941176469,4.436912735849018,235.15637499999792,30.6354338235294,28.58525985016648,26.1994705882353,4.4359632352941,1.4473839590316795,0.05063392694760653,25,10,0,21,18,15,53,1.0192307692307692,Moderate Stress,High Variability,0.22805514705882293,1.1097132352941017,27,25,25,9,0.05063392694760653
Sprat Hole,2024,21.2626145833334,7.484000196540931,396.6520104166693,31.1244166666667,29.218178711473207,27.2538308823529,3.8705857843138,1.1732321410231907,0.04015418457833217,31,16,1,31,28,24,53,1.0192307692307692,High Stress,Low Variability,0.1778874670060386,0.4823541666665996,27,25,31,13,0.04015418457833217
St James,2023,16.2815220588234,3.8606774417313807,204.61590441176315,30.5440073529412,28.497980160932293,26.1862720588235,4.357735294117699,1.4867354015981293,0.05216985180010357,25,11,0,22,18,12,53,1.0192307692307692,Low Stress,Extreme Variability,0.21916911764705954,0.7685073529411994,29,23,25,9,0.05216985180010357
St James,2024,20.3988854166667,6.691047366352217,354.6255104166676,30.9474791666667,29.06340347530522,27.1995588235294,3.7479203431372987,1.20700863105462,0.04153018871586044,29,14,0,29,26,22,53,1.0192307692307692,High Stress,Moderate Variability,0.16541505231900366,0.7430000000000021,31,21,29,10,0.04153018871586044
