site,response_2024_to_2025,recovery_2024_to_2025,recovery_prop_2024_to_2025,baseline_2024_annual,outcome_2025_pbl,worsening_2024_to_2025,response_2023_to_2024,recovery_2023_to_2024,recovery_prop_2023_to_2024,baseline_2023_annual,outcome_2024_pbl,max_dhw_2023,max_dhw_2024,temp_sd_2023,temp_sd_2024,total_dhw_accumulation_2023,total_dhw_accumulation_2024,max_weekly_temp_2023,max_weekly_temp_2024,temp_range_2023,temp_range_2024,weeks_with_dhw_2023,weeks_with_dhw_2024,cumulative_dhw,max_annual_dhw,thermal_variability,thermal_persistence,dhw_escalation,prev_bleaching_category,dhw_2024_category,thermal_variability_category,response_extreme_category
Black Point,-52.18253968253968,52.18253968253968,0.8505821474773609,61.34920634920635,9.166666666666666,0,-48.02457264957265,48.02457264957265,0.974631946401856,49.27457264957265,1.25,18.7954352355072,21.351953125,1.549423166410273,1.2319053720220952,262.45696467391207,394.9858906250003,30.6296956521739,31.0934427083333,4.6602633605072015,3.8873906249999983,24,29,657.4428552989124,21.351953125,2.7813285384323683,53,2.5565178894928025,Severe Previous Impact,Moderate Current Stress,Extreme Variability,Strong Recovery
Brewers Bay,3.552713678800501e-15,0,0,16.666666666666664,16.666666666666668,3.552713678800501e-15,-34.083333333333336,34.083333333333336,1,34.083333333333336,0,16.403605882353,20.7417083333334,1.551713904328569,1.1971937961944497,205.27826323529436,370.7921145833344,30.6259779411765,31.1653541666667,4.7108750000000015,4.0063046617162,22,27,576.0703778186288,20.7417083333334,2.7489077005230187,49,4.338102450980401,High Previous Impact,Moderate Current Stress,Extreme Variability,No Recovery
Cane Bay,-44.791666666666664,44.791666666666664,0.947136563876652,47.291666666666664,2.5,0,-22.833333333333336,22.833333333333336,0.8838709677419355,25.833333333333336,3,17.7278051470588,20.5389687499998,1.4501196611904563,1.1985383889353916,217.84670220588248,328.1628854166642,30.5414191176471,30.9511145833333,4.3668382352942,3.8290557598039,21,29,546.0095876225466,20.5389687499998,2.6486580501258477,50,2.8111636029410008,Moderate Previous Impact,Moderate Current Stress,Moderate Variability,Strong Recovery
Cane Bay Deep,0,0,0,0,0,0,9,0,0,0,9,19.0488639705883,23.8875260416667,1.3703882902964244,1.1263528607606854,293.54267647058924,489.71362571271794,30.1998823529412,30.735078125,3.9706654411765,3.7158060661765018,25,31,783.2563021833072,23.8875260416667,2.49674115105711,56,4.838662071078399,Low Previous Impact,Extreme Current Stress,Low Variability,No Recovery
College Shoal East,8.333333333333332,0,0,0,8.333333333333332,8.333333333333332,-14.583333333333332,14.583333333333332,0.945945945945946,15.416666666666666,0.8333333333333334,17.5813676470589,16.6557604166666,1.2690168357947764,0.972547427247088,206.45273529411847,204.79751041666648,30.2598014705882,30.1725,3.947345588235301,3.2155147058823985,21,25,411.25024571078495,17.5813676470589,2.241564263041864,46,-0.925607230392302,Moderate Previous Impact,Low Current Stress,Low Variability,No Recovery
Flat Cay,5.139709392528935,0,0,38.1936239408044,43.333333333333336,5.139709392528935,-35.51122334455669,35.51122334455669,0.5286147471827987,67.17789001122335,31.666666666666664,16.6577051083594,20.2400104166666,1.5051968219487035,1.2143689742988697,209.24727089783576,374.00325520833405,30.5386066176471,30.9206458333333,4.471955882353001,3.8350796568627,22,29,583.2505261061698,20.2400104166666,2.719565796247573,51,3.5823053083071983,Severe Previous Impact,Low Current Stress,Extreme Variability,No Recovery
Great Pond,-81.41666666666667,81.41666666666667,1,81.41666666666667,0,0,-14.083333333333334,14.083333333333334,1,14.083333333333334,0,17.2090147058825,23.1001354166666,1.5546868339345872,1.2591555138759778,238.22176470588448,457.8513958333324,30.865625,31.7214270833333,4.7337647058824,4.220566789215699,27,33,696.0731605392168,23.1001354166666,2.813842347810565,60,5.891120710784101,Low Previous Impact,Extreme Current Stress,Extreme Variability,Exceptional Recovery
Hind Bank East FSA,1.166666666666667,0,0,1,2.166666666666667,1.166666666666667,-4.777777777777779,4.777777777777779,1,4.777777777777779,0,17.1795073529413,18.2382135416667,1.1410958454154645,0.8508020227084803,242.61063235294296,228.7104062500002,30.0524705882353,30.0815416666667,3.7955036764705983,3.189781372549099,29,27,471.3210386029432,18.2382135416667,1.9918978681239448,56,1.0587061887253988,Low Previous Impact,Low Current Stress,Low Variability,No Recovery
Jacks Bay,0,0,0,20.833333333333336,20.833333333333336,0,-32.5,32.5,1,32.5,0,17.3065882352939,21.6920520833334,1.478698307821557,1.202766880635289,235.85063235293848,412.6691354166673,30.52375,31.0731458333333,4.3861764705882,3.734204656862701,22,31,648.5197677696058,21.6920520833334,2.681465188456846,53,4.3854638480395,High Previous Impact,High Current Stress,High Variability,No Recovery
Lang Bank Red Hind FSA,0,0,0,0,0,0,-13.333333333333334,13.333333333333334,0.761904761904762,17.5,4.166666666666666,21.0152279411765,25.53428125,1.4531076342518248,1.1715591928963724,304.8195294117662,497.9573541666674,30.2684926470588,30.8208958333333,4.109088235294099,3.944300245097999,23,31,802.7768835784336,25.53428125,2.6246668271481974,54,4.519053308823498,Moderate Previous Impact,Extreme Current Stress,Moderate Variability,No Recovery
Magens Bay,-52.425,52.425,0.8646234194612424,60.63333333333333,8.208333333333334,0,-35.766666666666666,35.766666666666666,1,35.766666666666666,0,18.4003088235294,22.4826666666667,1.5053253842947103,1.2729671779603262,248.62369117647168,290.54055208333443,30.6084779411765,31.0809166666667,4.6620882352940995,4.345762254901999,22,24,539.1642432598061,22.4826666666667,2.7782925622550367,46,4.082357843137299,High Previous Impact,High Current Stress,Extreme Variability,Strong Recovery
Salt River West,-47.5,47.5,1,47.5,0,0,-38,38,1,38,0,14.3500129901959,3.3019514705883,1.4481930569522878,1.0072455105963614,178.09239117646862,6.4565737745099,30.4619193627451,29.9537203431373,4.322655882352901,2.934616666666699,21,3,184.54896495097853,14.3500129901959,2.455438567548649,24,-11.0480615196076,High Previous Impact,Low Current Stress,Low Variability,Strong Recovery
Savana,-42.33149509803922,42.33149509803922,1,42.33149509803922,0,0,-22.055555555555543,22.055555555555543,0.9566265060240964,23.055555555555543,1,18.7343749999999,21.4048645833333,1.4002370595900866,1.1909445608249103,231.02179342287948,337.31983333333267,30.3966985294118,30.6196041666667,4.3088382352942,3.7068541666667016,21,28,568.3416267562121,21.4048645833333,2.591181620414997,49,2.6704895833333993,Moderate Previous Impact,Moderate Current Stress,Low Variability,Strong Recovery
Seahorse Cottage Shoal,-37.85218253968253,37.85218253968253,0.9380454824830976,40.35218253968253,2.5,0,-55.09587251828631,55.09587251828631,1,55.09587251828631,0,19.3086727941177,22.5131510416666,1.4889972585289086,1.204717353273107,265.7715204377036,437.68579687499914,30.5184816176471,30.9553802083333,4.410996323529503,3.7294479166665977,23,31,703.4573173127028,22.5131510416666,2.6937146118020157,54,3.2044782475488987,Severe Previous Impact,High Current Stress,High Variability,Strong Recovery
Sprat Hole,-64.16666666666667,64.16666666666667,1,64.16666666666667,0,0,-19.999999999999993,19.999999999999993,0.5999999999999999,33.33333333333333,13.333333333333334,18.3977941176469,21.2626145833334,1.4473839590316795,1.1732321410231907,235.15637499999792,396.6520104166693,30.6354338235294,31.1244166666667,4.4359632352941,3.8705857843138,21,31,631.8083854166673,21.2626145833334,2.6206161000548702,52,2.864820465686499,High Previous Impact,Moderate Current Stress,Moderate Variability,Strong Recovery
St James,0,0,0,0,0,0,-32.916666666666664,32.916666666666664,1,32.916666666666664,0,16.2815220588234,20.3988854166667,1.4867354015981291,1.20700863105462,204.61590441176315,354.6255104166676,30.5440073529412,30.9474791666667,4.357735294117699,3.7479203431372983,22,29,559.2414148284308,20.3988854166667,2.693744032652749,51,4.117363357843303,High Previous Impact,Low Current Stress,High Variability,No Recovery
