site,period,initial_bleaching,final_bleaching,recovery_rate,recovery_proportion,persistence_rate,net_change
Black Point,2023_to_2024_PBL,49.27457264957265,1.25,48.02457264957265,0.974631946401856,1.25,-48.02457264957265
Botany Bay,2023_to_2024_PBL,30.277777777777786,2.5,27.777777777777786,0.9174311926605505,2.5,-27.777777777777786
Brewers Bay,2023_to_2024_PBL,34.083333333333336,0,34.083333333333336,1,0,-34.083333333333336
Buck Island STT,2023_to_2024_PBL,20.48611111111112,18.75,1.7361111111111214,0.08474576271186486,18.75,-1.7361111111111214
Buck Island STX,2023_to_2024_PBL,56.5,0,56.5,1,0,-56.5
Buck Island STX Deep,2023_to_2024_PBL,0,0,0,0,0,0
Cane Bay,2023_to_2024_PBL,25.833333333333336,3,22.833333333333336,0.8838709677419355,3,-22.833333333333336
Cane Bay Deep,2023_to_2024_PBL,0,9,0,0,0,9
Castle,2023_to_2024_PBL,45,0,45,1,0,-45
Coculus Rock,2023_to_2024_PBL,80.46469298245614,1.6666666666666667,78.79802631578947,0.979286981595393,1.6666666666666667,-78.79802631578947
College Shoal East,2023_to_2024_PBL,15.416666666666666,0.8333333333333334,14.583333333333332,0.9459459459459459,0.8333333333333334,-14.583333333333332
Coral Bay,2023_to_2024_PBL,40.833333333333336,0,40.833333333333336,1,0,-40.833333333333336
Eagle Ray,2023_to_2024_PBL,33.33333333333333,16.666666666666664,16.666666666666664,0.5,16.666666666666664,-16.666666666666664
Fish Bay,2023_to_2024_PBL,40.416666666666664,15,25.416666666666664,0.6288659793814433,15,-25.416666666666664
Flat Cay,2023_to_2024_PBL,67.17789001122335,31.666666666666664,35.51122334455669,0.5286147471827987,31.666666666666664,-35.51122334455669
Grammanik Tiger FSA,2023_to_2024_PBL,36.777777777777786,6.083333333333333,30.694444444444454,0.8345921450151058,6.083333333333333,-30.694444444444454
Great Pond,2023_to_2024_PBL,14.083333333333334,0,14.083333333333334,1,0,-14.083333333333334
Hind Bank East FSA,2023_to_2024_PBL,4.777777777777779,0,4.777777777777779,1,0,-4.777777777777779
Jacks Bay,2023_to_2024_PBL,32.5,0,32.5,1,0,-32.5
Kings Corner,2023_to_2024_PBL,15,0,15,1,0,-15
Lang Bank EEMP,2023_to_2024_PBL,63.333333333333336,10,53.333333333333336,0.8421052631578947,10,-53.333333333333336
Lang Bank Red Hind FSA,2023_to_2024_PBL,17.5,4.166666666666666,13.333333333333334,0.761904761904762,4.166666666666666,-13.333333333333334
Magens Bay,2023_to_2024_PBL,35.766666666666666,0,35.766666666666666,1,0,-35.766666666666666
Meri Shoal,2023_to_2024_PBL,26.666666666666664,0,26.666666666666664,1,0,-26.666666666666664
Mutton Snapper FSA,2023_to_2024_PBL,0,0,0,0,0,0
Salt River Deep,2023_to_2024_PBL,15,0,15,1,0,-15
Salt River West,2023_to_2024_PBL,38,0,38,1,0,-38
Savana,2023_to_2024_PBL,23.055555555555543,1,22.055555555555543,0.9566265060240964,1,-22.055555555555543
Seahorse Cottage Shoal,2023_to_2024_PBL,55.09587251828631,0,55.09587251828631,1,0,-55.09587251828631
South Capella,2023_to_2024_PBL,15,5,10,0.6666666666666666,5,-10
South Water,2023_to_2024_PBL,1.6666666666666667,0,1.6666666666666667,1,0,-1.6666666666666667
Sprat Hole,2023_to_2024_PBL,33.33333333333333,13.333333333333334,19.999999999999993,0.5999999999999999,13.333333333333334,-19.999999999999993
St James,2023_to_2024_PBL,32.916666666666664,0,32.916666666666664,1,0,-32.916666666666664
Black Point,2024_to_2025_PBL,61.34920634920635,9.166666666666666,52.182539682539684,0.8505821474773609,9.166666666666666,-52.182539682539684
Botany Bay,2024_to_2025_PBL,53.61904761904762,21,32.61904761904762,0.6083481349911191,21,-32.61904761904762
Brewers Bay,2024_to_2025_PBL,16.666666666666664,16.666666666666668,0,0,16.666666666666664,3.552713678800501e-15
Buck Island STT,2024_to_2025_PBL,33.84285714285715,16.666666666666664,17.176190476190484,0.5075277895033068,16.666666666666664,-17.176190476190484
Buck Island STX,2024_to_2025_PBL,1.6666666666666667,0,1.6666666666666667,1,0,-1.6666666666666667
Buck Island STX Deep,2024_to_2025_PBL,0.8333333333333334,0,0.8333333333333334,1,0,-0.8333333333333334
Cane Bay,2024_to_2025_PBL,47.291666666666664,2.5,44.791666666666664,0.947136563876652,2.5,-44.791666666666664
Cane Bay Deep,2024_to_2025_PBL,0,0,0,0,0,0
Castle,2024_to_2025_PBL,28.333333333333336,0,28.333333333333336,1,0,-28.333333333333336
Coculus Rock,2024_to_2025_PBL,65.46296296296296,27.79545454545455,37.667508417508415,0.5754018258968754,27.79545454545455,-37.667508417508415
College Shoal East,2024_to_2025_PBL,0,8.333333333333332,0,0,0,8.333333333333332
Coral Bay,2024_to_2025_PBL,27.5,6.166666666666667,21.333333333333332,0.7757575757575758,6.166666666666667,-21.333333333333332
Eagle Ray,2024_to_2025_PBL,33.33333333333333,0,33.33333333333333,1,0,-33.33333333333333
Fish Bay,2024_to_2025_PBL,31.666666666666664,0,31.666666666666664,1,0,-31.666666666666664
Flat Cay,2024_to_2025_PBL,38.1936239408044,43.333333333333336,0,0,38.1936239408044,5.139709392528935
Grammanik Tiger FSA,2024_to_2025_PBL,0.5,0.27777777777777835,0.22222222222222165,0.4444444444444433,0.27777777777777835,-0.22222222222222165
Great Pond,2024_to_2025_PBL,81.41666666666667,0,81.41666666666667,1,0,-81.41666666666667
Hind Bank East FSA,2024_to_2025_PBL,1,2.166666666666667,0,0,1,1.166666666666667
Jacks Bay,2024_to_2025_PBL,20.833333333333336,20.833333333333336,0,0,20.833333333333336,0
Kings Corner,2024_to_2025_PBL,32.5,0,32.5,1,0,-32.5
Lang Bank EEMP,2024_to_2025_PBL,33.33333333333333,17.5,15.833333333333329,0.4749999999999999,17.5,-15.833333333333329
Lang Bank Red Hind FSA,2024_to_2025_PBL,0,0,0,0,0,0
Magens Bay,2024_to_2025_PBL,60.63333333333333,8.208333333333334,52.425,0.8646234194612424,8.208333333333334,-52.425
Meri Shoal,2024_to_2025_PBL,10,5.833333333333334,4.166666666666666,0.41666666666666663,5.833333333333334,-4.166666666666666
Mutton Snapper FSA,2024_to_2025_PBL,16.666666666666664,0,16.666666666666664,1,0,-16.666666666666664
Salt River Deep,2024_to_2025_PBL,13,4,9,0.6923076923076923,4,-9
Salt River West,2024_to_2025_PBL,47.5,0,47.5,1,0,-47.5
Savana,2024_to_2025_PBL,42.33149509803922,0,42.33149509803922,1,0,-42.33149509803922
Seahorse Cottage Shoal,2024_to_2025_PBL,40.35218253968253,2.5,37.85218253968253,0.9380454824830977,2.5,-37.85218253968253
South Capella,2024_to_2025_PBL,3.3333333333333335,2.5,0.8333333333333335,0.25000000000000006,2.5,-0.8333333333333335
South Water,2024_to_2025_PBL,15.888888888888882,0.3333333333333333,15.555555555555548,0.979020979020979,0.3333333333333333,-15.555555555555548
Sprat Hole,2024_to_2025_PBL,64.16666666666667,0,64.16666666666667,1,0,-64.16666666666667
St James,2024_to_2025_PBL,0,0,0,0,0,0
